,0
2018-08-16,49027.529099326915
2018-08-17,46275.817073367085
2018-08-18,36731.092622479286
2018-08-19,39635.52575240144
2018-08-20,53364.30246396558
2018-08-21,49310.110682296145
2018-08-22,48112.90697027626
2018-08-23,52184.10390503685
2018-08-24,49255.230030388535
2018-08-25,39095.99322755816
2018-08-26,42187.420758723805
2018-08-27,56800.08918552065
2018-08-28,52484.878771013835
2018-08-29,51210.59620013183
2018-08-30,55543.906600448645
2018-08-31,52426.464770537335
2018-09-01,41613.15183027904
2018-09-02,44903.612912681485
2018-09-03,60457.08013249888
2018-09-04,55864.04607681829
2018-09-05,54507.722124469336
2018-09-06,59120.0214866466
2018-09-07,55801.87124228064
2018-09-08,44292.37116729664
2018-09-09,47794.68006040616
2018-09-10,64349.516965780465
2018-09-11,59460.77231367229
2018-09-12,58017.1249580924
2018-09-13,62926.375263536596
2018-09-14,59394.59451351736
